;;PROGRAMA ANUAL DE SEGURIDAD Y SALUD EN EL TRABAJO 2025;;;;;;;;;;;;;;;;;"400117-SCL-SSM-GEN-PR-P2-0001
Fecha: 30/06/2025
Revisión: 01";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAZÓN SOCIAL;;;RUC;ACTIVIDAD ECONÓMICA;;;;DIRECCIÓN;;;;;;;;;;;;;NÚMERO DE TRABAJADORES;;;;;;;;;;;;;;;;;;;;;;;;;;
SINOHYDRO CORPORATION LIMITED;;;20602979173;Construcción;;;;Av. Alberto del Campo Nro. 409 Int. 601 Lima - Magdalena del Mar;;;;;;;;;;;;;210;;;;;;;;;;;;;;;;;;;;;;;;;;
SEDE/PROYECTO;;" ""PAQUETE 2 - EXPLOTACIÓN DE CANTERA CR 01 - SOLUCIÓN  INTEGRAL - QUEBRADA CANSAS"".";;;;;CORRESPONDIENTE AL AÑO: ;;;;2025;;;;;;Versión:;;4;;Fecha:;30/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Objetivo General 1 :;;Asegurar la consulta, participación, información y capacitación activa de nuestros trabajadores y sus representantes. ;;;;;Objetivos Específico :;;;;Se elegirá al sub comité de SST para asegurar la participación y consulta de los trabajadores por intermedio de sus participantes. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar los acuerdos del SCSST y capacitaciones como meta 90 aceptable 85% - Objetivo 1 目標1;;;;;Indicador:;;;;"  Actividades Ejecutadas    x 100
Actividades Planificadas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I. SUBCOMITÉ DE SEGURIDAD Y SALUD EN EL TRABAJO;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;Actividades del sub comité reuniones;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL;;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
1.00;Conformación del subcomité de seguridad y salud en el trabajo (SCSST).;;ESP.SSOMA;Miembros del SCSST;Cuando la cantidad de trabajadores sean mayores a 20.;Planeado;;;;;;;;;;;;;0;;0%;Conformado en el 2024;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.00;Reunión ordinaria del Subcomité de seguridad y salud en el trabajo (SCSST).;;Miembros del SCSST;Miembros del SCSST;Mensual;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.00;Inspecciones del SCSST;;Miembros del SCSST;Miembros del SCSST;Mensual;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12;;50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.00;Capacitaciones Inspecciones de Seguridad y salud en el trabajo ;;Miembros del SCSST;Miembros del SCSST;Trimestral;Planeado;;;;;1;;;;;;;;1;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.00;Capacitaciones Notificación, investigación y reporte de incidentes;;Miembros del SCSST;Miembros del SCSST;Trimestral;Planeado;;;1;;;;;;;;;;1;;100%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.00;Capacitaciones seguridad y salud en el trabajo, actualización de la Ley 29783;;Miembros del SCSST;Miembros del SCSST;Trimestral;Planeado;;;;;;;;;1;;;;1;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.00;Capacitaciones IPERC;;Miembros del SCSST;Miembros del SCSST;Trimestral;Planeado;;;;;;;1;;;;;;1;;0%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.00;Elaboración de Informes trimestrales  ;;Miembros del SCSST;Miembros del SCSST;Trimestral;Planeado;;;1;;;1;;;1;;;1;4;;25%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Planeado;2;2;4;2;3;3;3;2;4;2;2;3;32;;47%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ejecutado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;% de cump.;100%;100%;100%;100%;100%;67%;0%;0%;0%;0%;0%;0%;47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Objetivo General 2 :;;Asegurar la consulta, participación, información y capacitación activa de nuestros trabajadores y sus representantes. ;;;;;Objetivos Específico:;;;;Se elabora un programa de capacitaciones para fortalecer las capacidades de los trabajadores en materia de prevención de riesgos laborales.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta:;;Ejecutar las capacitaciones y sensibilización como como meta 90 aceptable 85%  - Objetivo 2 目標2;;;;;Indicador:;;;;"  Actividades Ejecutadas    x 100
Actividades Planificadas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presupuesto:;;Lo que requiera cada actividad;;;;;Recursos:;;;;Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II. Formación ;;;;;;;;;;;;;;;;;;;;;;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;DETALLE DE LA ACTIVIDAD;;RESPONSABLES;PÚBLICO OBJETIVO;EJECUCIÓN;;PERIODO DE EJECUCION 2025;;;;;;;;;;;;TOTAL;Cant. Pers. Capacitado;% Avance;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Período;Plan;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;;;;;;Plan;ENE;N° de Perso.;FEB;N° de Perso.;MAR;N° de Perso.;ABR;N° de Perso.;MAY;N° de Perso.;JUN;N° de Perso.;JUL;N° de Perso.;AGO;N° de Perso.;SET;N° de Perso.;OCT;N° de Perso.;NOV;N° de Perso.;DIC
1;Inducción General de SSOMA;;Área SSOMA;Todo el personal;Según ingreso de trabajador nuevo;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12;#¡REF!;50%;Según ingreso de personal;;Planeado;1;36;1;24;1;41;1;48;1;36;1;14;1;;1;;1;;1;;1;;1
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;1;;1;;1;;1;;1;;1;;0;;0;;0;;0;;0;;0
2;Inducción especifica;;Área SSOMA;Todo el personal;Según ingreso de trabajador nuevo;Planeado;1;1;1;1;1;1;1;1;1;1;1;1;12;#¡REF!;50%;Según ingreso de personal;;Planeado;1;32;1;24;1;41;1;48;1;36;1;14;1;;1;;1;;1;;1;;1
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;1;;1;;1;;1;;1;;1;;0;;0;;0;;0;;0;;0
3;Cap. Obligaría Notificación de investigación  y reporte de accidente;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;1;;;;;;;;;;1;#¡REF!;100%;Capacitación;;Planeado;0;;0;;1;159;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0
4;Cap. Obligaría IPERC Identificación de Peligros y Evaluación de Riesgos;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;1;;;;;;;1;#¡REF!;100%;Capacitación;;Planeado;0;;0;;0;;0;;0;;1;193;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0
5;Cap. Obligaría Análisis de trabajo seguro - AST;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;1;;;;;;;;;;;1;#¡REF!;100%;Capacitación;;Planeado;0;;1;109;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
6;Cap. Obligaría Primeros auxilios;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;1;;;;1;#¡REF!;0%;Capacitación;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
7;Cap. Obligaría Uso de EPP ;;Área SSOMA;Todo el personal;Programado en el mes ;Planeado;;;;;;;;;;;;1;1;#¡REF!;0%;Capacitación al personal que aplique;;Planeado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
8;Cap. Art. 54 Manejo Defensivo u operación segura;;Área SSOMA;Según puesto;Programado en el mes ;Planeado;;1;;;1;;;1;;;1;;4;#¡REF!;50%;Capacitación al personal que aplique;;Planeado;0;;1;133;0;;0;;1;144;0;;0;;1;;0;;0;;1;;0
;;;;;;Ejecutado;;;;;;;;;;;;;;#¡REF!;;;;Ejecutado;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0
